year,month,country,product,units,sales
2021,3,Australia,Road-250 Red,4,7964.00
2021,3,Australia,Road-350-W Yellow,18,25416.00
2021,3,Australia,Road-550-W Yellow,26,24912.00
2021,3,Australia,Road-750 Black,22,9893.00
2021,3,Canada,Mountain-200 Black,2,4544.00
2021,3,Canada,Mountain-500 Black,2,1069.00
2021,3,Canada,Road-150 Red,8,28336.00
2021,3,Canada,Road-250 Black,6,14511.00
2021,3,Canada,Road-250 Red,24,58044.00
2021,3,Canada,Road-550-W Yellow,6,6654.00
2021,3,Canada,Road-650 Red,4,3100.00
2021,3,Canada,Road-750 Black,10,5345.00
2021,3,France,Mountain-200 Black,10,19049.00
2021,3,France,Mountain-200 Silver,6,12250.00
2021,3,France,Road-150 Red,12,35710.00
2021,3,France,Road-250 Black,2,4349.00
2021,3,France,Road-250 Red,8,16808.00
2021,3,France,Road-750 Black,2,1037.00
2021,3,Germany,Mountain-200 Silver,4,8909.00
2021,3,Germany,Mountain-500 Black,2,940.00
2021,3,Germany,Road-150 Red,6,19965.00
2021,3,Germany,Road-250 Black,6,12558.00
2021,3,Germany,Road-250 Red,4,8795.00
2021,3,Germany,Road-350-W Yellow,2,3164.00
2021,3,Germany,Road-550-W Yellow,6,5511.00
2021,3,Germany,Road-650 Black,6,4368.00
2021,3,Germany,Road-750 Black,4,1880.00
2021,3,United Kingdom,Mountain-200 Black,2,4406.00
2021,3,United Kingdom,Mountain-200 Silver,4,8908.00
2021,3,United Kingdom,Mountain-400-W Silver,2,1476.00
2021,3,United Kingdom,Mountain-500 Silver,2,1085.00
2021,3,United Kingdom,Road-150 Red,8,27480.00
2021,3,United Kingdom,Road-250 Red,6,14073.00
2021,3,United Kingdom,Road-350-W Yellow,14,22862.00
2021,3,United Kingdom,Road-550-W Yellow,12,12900.00
2021,3,United Kingdom,Road-650 Black,2,1503.00
2021,3,United Kingdom,Road-650 Red,2,1503.00
2021,3,United Kingdom,Road-750 Black,18,9333.00
2021,3,United States,Mountain-200 Black,14,25427.00
2021,3,United States,Mountain-200 Silver,22,47604.00
2021,3,United States,Mountain-400-W Silver,2,1200.00
2021,3,United States,Mountain-500 Black,2,1058.00
2021,3,United States,Road-150 Red,44,143123.00
2021,3,United States,Road-250 Black,10,21205.00
2021,3,United States,Road-250 Red,8,17589.00
2021,3,United States,Road-350-W Yellow,10,13950.00
2021,3,United States,Road-550-W Yellow,34,35254.00
2021,3,United States,Road-650 Black,8,5261.00
2021,3,United States,Road-650 Red,12,8896.00
2021,3,United States,Road-750 Black,30,15093.00
2021,4,Australia,Mountain-200 Black,10,19598.00
2021,4,Australia,Mountain-200 Silver,4,7796.00
2021,4,Australia,Road-150 Red,6,18033.00
2021,4,Australia,Road-250 Black,54,112578.00
2021,4,Australia,Road-250 Red,10,21108.00
2021,4,Australia,Road-350-W Yellow,20,29294.00
2021,4,Australia,Road-550-W Yellow,12,11224.00
2021,4,Australia,Road-650 Black,2,1237.00
2021,4,Australia,Road-750 Black,4,1760.00
2021,4,Canada,Mountain-200 Black,2,4544.00
2021,4,Canada,Road-150 Red,8,28336.00
2021,4,Canada,Road-350-W Yellow,4,6736.00
2021,4,Canada,Road-550-W Yellow,4,4436.00
2021,4,Canada,Road-750 Black,4,2138.00
2021,4,France,Mountain-200 Black,10,19507.00
2021,4,France,Mountain-200 Silver,4,7610.00
2021,4,France,Road-150 Red,10,31559.00
2021,4,France,Road-250 Black,10,20864.00
2021,4,France,Road-250 Red,4,8014.00
2021,4,France,Road-350-W Yellow,8,11432.00
2021,4,France,Road-550-W Yellow,8,7773.00
2021,4,Germany,Mountain-200 Silver,6,11925.00
2021,4,Germany,Road-150 Red,10,34562.00
2021,4,Germany,Road-250 Black,8,16565.00
2021,4,Germany,Road-250 Red,4,8844.00
2021,4,Germany,Road-350-W Yellow,4,6124.00
2021,4,Germany,Road-550-W Yellow,2,1949.00
2021,4,Germany,Road-750 Black,4,1772.00
2021,4,United Kingdom,Mountain-200 Black,4,8812.00
2021,4,United Kingdom,Mountain-200 Silver,2,4454.00
2021,4,United Kingdom,Mountain-400-W Silver,2,1476.00
2021,4,United Kingdom,Mountain-500 Black,4,2074.00
2021,4,United Kingdom,Mountain-500 Silver,2,1085.00
2021,4,United Kingdom,Road-150 Red,4,13740.00
2021,4,United Kingdom,Road-250 Black,4,9382.00
2021,4,United Kingdom,Road-250 Red,4,9382.00
2021,4,United Kingdom,Road-350-W Yellow,8,13064.00
2021,4,United Kingdom,Road-550-W Yellow,2,2150.00
2021,4,United Kingdom,Road-750 Black,24,12444.00
2021,4,United States,Mountain-200 Black,18,36810.00
2021,4,United States,Mountain-200 Silver,10,20879.00
2021,4,United States,Mountain-400-W Silver,4,2707.00
2021,4,United States,Road-150 Red,16,51811.00
2021,4,United States,Road-250 Black,4,8990.00
2021,4,United States,Road-250 Red,2,3811.00
2021,4,United States,Road-350-W Yellow,8,11976.00
2021,4,United States,Road-550-W Yellow,20,20247.00
2021,4,United States,Road-650 Black,2,1535.00
2021,4,United States,Road-750 Black,16,7816.00
2021,5,Australia,Mountain-200 Black,34,65177.00
2021,5,Australia,Mountain-200 Silver,26,51044.00
2021,5,Australia,Mountain-400-W Silver,10,6521.00
2021,5,Australia,Mountain-500 Black,4,1847.00
2021,5,Australia,Mountain-500 Silver,6,2859.00
2021,5,Australia,Road-150 Red,12,36210.00
2021,5,Australia,Road-250 Black,18,37183.00
2021,5,Australia,Road-250 Red,6,11971.00
2021,5,Australia,Road-350-W Yellow,22,31234.00
2021,5,Australia,Road-550-W Yellow,34,31723.00
2021,5,Australia,Road-650 Black,2,1362.00
2021,5,Australia,Road-750 Black,22,9851.00
2021,5,Canada,Mountain-200 Black,4,9088.00
2021,5,Canada,Mountain-500 Black,2,1069.00
2021,5,Canada,Road-150 Red,2,7084.00
2021,5,Canada,Road-250 Red,2,4837.00
2021,5,Canada,Road-650 Red,6,4650.00
2021,5,Canada,Road-750 Black,12,6414.00
2021,5,France,Mountain-200 Black,8,16065.00
2021,5,France,Mountain-200 Silver,4,8398.00
2021,5,France,Mountain-400-W Silver,2,1261.00
2021,5,France,Road-150 Red,12,37928.00
2021,5,France,Road-250 Black,6,12558.00
2021,5,France,Road-250 Red,4,8258.00
2021,5,France,Road-350-W Yellow,2,3164.00
2021,5,France,Road-650 Black,2,1284.00
2021,5,France,Road-750 Black,6,2872.00
2021,5,Germany,Road-150 Red,2,7084.00
2021,5,Germany,Road-250 Black,8,17639.00
2021,5,Germany,Road-250 Red,8,18469.00
2021,5,Germany,Road-550-W Yellow,2,1949.00
2021,5,Germany,Road-650 Black,2,1550.00
2021,5,Germany,Road-650 Red,10,6936.00
2021,5,Germany,Road-750 Black,4,2073.00
2021,5,United Kingdom,Mountain-200 Black,6,13218.00
2021,5,United Kingdom,Mountain-200 Silver,6,13362.00
2021,5,United Kingdom,Mountain-400-W Silver,2,1476.00
2021,5,United Kingdom,Mountain-500 Silver,2,1085.00
2021,5,United Kingdom,Road-150 Red,4,13740.00
2021,5,United Kingdom,Road-250 Black,6,14073.00
2021,5,United Kingdom,Road-250 Red,4,9382.00
2021,5,United Kingdom,Road-350-W Yellow,6,9798.00
2021,5,United Kingdom,Road-550-W Yellow,6,6450.00
2021,5,United Kingdom,Road-750 Black,14,7259.00
2021,5,United States,Mountain-100 Black,2,5265.00
2021,5,United States,Mountain-200 Black,10,21021.00
2021,5,United States,Mountain-200 Silver,14,29045.00
2021,5,United States,Mountain-400-W Silver,4,3014.00
2021,5,United States,Mountain-500 Black,2,1058.00
2021,5,United States,Road-150 Red,18,57393.00
2021,5,United States,Road-250 Black,8,16612.00
2021,5,United States,Road-350-W Yellow,8,13336.00
2021,5,United States,Road-550-W Yellow,12,12901.00
2021,5,United States,Road-650 Red,8,5873.00
2021,5,United States,Road-750 Black,10,4945.00
2021,6,Australia,Mountain-200 Black,4,7712.00
2021,6,Australia,Mountain-200 Silver,2,3805.00
2021,6,Australia,Mountain-400-W Silver,2,1215.00
2021,6,Australia,Road-150 Red,12,36138.00
2021,6,Australia,Road-250 Black,22,45930.00
2021,6,Australia,Road-250 Red,2,4251.00
2021,6,Australia,Road-350-W Yellow,2,2858.00
2021,6,Australia,Road-550-W Yellow,26,24151.00
2021,6,Australia,Road-650 Black,4,2474.00
2021,6,Australia,Road-650 Red,16,10802.00
2021,6,Australia,Road-750 Black,24,10681.00
2021,6,Canada,Mountain-200 Silver,2,4594.00
2021,6,Canada,Mountain-500 Black,2,1069.00
2021,6,Canada,Road-250 Red,2,4837.00
2021,6,Canada,Road-550-W Yellow,4,4436.00
2021,6,Canada,Road-650 Red,6,4650.00
2021,6,France,Mountain-200 Silver,2,4037.00
2021,6,France,Road-150 Red,2,6226.00
2021,6,France,Road-250 Red,4,8014.00
2021,6,France,Road-350-W Yellow,10,14766.00
2021,6,France,Road-550-W Yellow,10,9431.00
2021,6,France,Road-650 Black,4,2646.00
2021,6,Germany,Mountain-200 Black,8,16295.00
2021,6,Germany,Mountain-200 Silver,10,21066.00
2021,6,Germany,Mountain-400-W Silver,2,1338.00
2021,6,Germany,Road-150 Red,6,17604.00
2021,6,Germany,Road-250 Black,6,13339.00
2021,6,Germany,Road-250 Red,2,4837.00
2021,6,Germany,Road-350-W Yellow,6,9118.00
2021,6,Germany,Road-550-W Yellow,4,4032.00
2021,6,Germany,Road-650 Black,2,1456.00
2021,6,Germany,Road-650 Red,4,2818.00
2021,6,Germany,Road-750 Black,4,2008.00
2021,6,United Kingdom,Mountain-200 Black,6,13218.00
2021,6,United Kingdom,Mountain-200 Silver,4,8908.00
2021,6,United Kingdom,Road-150 Red,6,20610.00
2021,6,United Kingdom,Road-250 Black,2,4691.00
2021,6,United Kingdom,Road-250 Red,6,14073.00
2021,6,United Kingdom,Road-350-W Yellow,4,6532.00
2021,6,United Kingdom,Road-550-W Yellow,6,6450.00
2021,6,United Kingdom,Road-650 Black,4,3006.00
2021,6,United Kingdom,Road-650 Red,2,1503.00
2021,6,United Kingdom,Road-750 Black,12,6222.00
2021,6,United States,Mountain-200 Black,20,42226.00
2021,6,United States,Mountain-200 Silver,20,42129.00
2021,6,United States,Mountain-400-W Silver,2,1507.00
2021,6,United States,Mountain-500 Black,2,1058.00
2021,6,United States,Mountain-500 Silver,2,881.00
2021,6,United States,Road-150 Red,16,48090.00
2021,6,United States,Road-250 Black,8,17980.00
2021,6,United States,Road-250 Red,12,24820.00
2021,6,United States,Road-350-W Yellow,4,5580.00
2021,6,United States,Road-550-W Yellow,10,10437.00
2021,6,United States,Road-650 Black,4,2756.00
2021,6,United States,Road-650 Red,10,7361.00
2021,6,United States,Road-750 Black,6,2829.00
2021,7,Australia,Mountain-100 Black,6,15999.00
2021,7,Australia,Mountain-200 Black,24,47001.00
2021,7,Australia,Mountain-200 Silver,22,41903.00
2021,7,Australia,Mountain-400-W Silver,12,7905.00
2021,7,Australia,Mountain-500 Black,4,1739.00
2021,7,Australia,Mountain-500 Silver,8,3842.00
2021,7,Australia,Road-150 Red,24,71990.00
2021,7,Australia,Road-250 Black,22,45244.00
2021,7,Australia,Road-250 Red,10,20961.00
2021,7,Australia,Road-350-W Yellow,32,46340.00
2021,7,Australia,Road-550-W Yellow,28,26167.00
2021,7,Australia,Road-750 Black,28,12659.00
2021,7,Canada,Mountain-200 Black,8,18176.00
2021,7,Canada,Mountain-200 Silver,2,4594.00
2021,7,Canada,Mountain-500 Black,2,1069.00
2021,7,Canada,Road-150 Red,2,7084.00
2021,7,Canada,Road-250 Red,4,9674.00
2021,7,Canada,Road-350-W Yellow,2,3368.00
2021,7,Canada,Road-550-W Yellow,2,2218.00
2021,7,Canada,Road-750 Black,10,5345.00
2021,7,France,Mountain-200 Black,10,19462.00
2021,7,France,Mountain-200 Silver,10,19257.00
2021,7,France,Road-150 Red,24,71633.00
2021,7,France,Road-250 Black,12,25751.00
2021,7,France,Road-250 Red,10,21304.00
2021,7,France,Road-350-W Yellow,6,9220.00
2021,7,France,Road-550-W Yellow,10,9565.00
2021,7,France,Road-750 Black,4,1642.00
2021,7,Germany,Mountain-200 Black,6,12531.00
2021,7,Germany,Mountain-200 Silver,10,20741.00
2021,7,Germany,Road-150 Red,6,19536.00
2021,7,Germany,Road-250 Black,8,18469.00
2021,7,Germany,Road-250 Red,10,21890.00
2021,7,Germany,Road-350-W Yellow,6,8370.00
2021,7,Germany,Road-550-W Yellow,10,10170.00
2021,7,Germany,Road-650 Black,2,1362.00
2021,7,Germany,Road-650 Red,6,4024.00
2021,7,Germany,Road-750 Black,2,1004.00
2021,7,United Kingdom,Mountain-200 Black,14,30842.00
2021,7,United Kingdom,Mountain-200 Silver,8,17816.00
2021,7,United Kingdom,Mountain-400-W Silver,6,4428.00
2021,7,United Kingdom,Road-150 Red,6,20610.00
2021,7,United Kingdom,Road-250 Black,6,14073.00
2021,7,United Kingdom,Road-250 Red,6,14073.00
2021,7,United Kingdom,Road-350-W Yellow,14,22862.00
2021,7,United Kingdom,Road-550-W Yellow,10,10750.00
2021,7,United Kingdom,Road-650 Black,6,4509.00
2021,7,United Kingdom,Road-650 Red,2,1503.00
2021,7,United Kingdom,Road-750 Black,6,3111.00
2021,7,United States,Mountain-100 Black,2,5805.00
2021,7,United States,Mountain-100 Silver,2,5304.00
2021,7,United States,Mountain-200 Black,28,60952.00
2021,7,United States,Mountain-200 Silver,22,42964.00
2021,7,United States,Mountain-400-W Silver,10,7535.00
2021,7,United States,Mountain-500 Black,8,4232.00
2021,7,United States,Mountain-500 Silver,2,1107.00
2021,7,United States,Road-150 Red,20,65837.00
2021,7,United States,Road-250 Black,8,17589.00
2021,7,United States,Road-250 Red,6,13387.00
2021,7,United States,Road-350-W Yellow,6,8234.00
2021,7,United States,Road-550-W Yellow,22,22801.00
2021,7,United States,Road-650 Black,8,5952.00
2021,7,United States,Road-650 Red,4,2568.00
2021,7,United States,Road-750 Black,24,12048.00
2021,8,Australia,Mountain-100 Silver,2,5542.00
2021,8,Australia,Mountain-200 Black,14,26923.00
2021,8,Australia,Mountain-200 Silver,20,38767.00
2021,8,Australia,Mountain-400-W Silver,4,2676.00
2021,8,Australia,Mountain-500 Silver,3,1476.00
2021,8,Australia,Road-150 Red,8,23939.00
2021,8,Australia,Road-250 Black,13,26602.00
2021,8,Australia,Road-250 Red,1,2125.00
2021,8,Australia,Road-350-W Yellow,15,21061.00
2021,8,Australia,Road-550-W Yellow,7,6450.00
2021,8,Australia,Road-750 Black,11,4965.00
2021,8,Canada,Mountain-200 Silver,2,4594.00
2021,8,Canada,Mountain-500 Black,1,535.00
2021,8,Canada,Mountain-500 Silver,1,559.00
2021,8,Canada,Road-150 Red,1,3542.00
2021,8,Canada,Road-250 Red,2,4838.00
2021,8,Canada,Road-750 Black,1,535.00
2021,8,France,Mountain-100 Black,1,3139.00
2021,8,France,Mountain-200 Black,2,3947.00
2021,8,France,Mountain-200 Silver,3,5822.00
2021,8,France,Mountain-400-W Silver,1,631.00
2021,8,France,Road-150 Red,2,6369.00
2021,8,France,Road-250 Black,4,8476.00
2021,8,France,Road-250 Red,5,11017.00
2021,8,France,Road-350-W Yellow,1,1633.00
2021,8,France,Road-550-W Yellow,1,918.00
2021,8,France,Road-750 Black,2,999.00
2021,8,Germany,Mountain-200 Black,3,6540.00
2021,8,Germany,Road-150 Red,2,6656.00
2021,8,Germany,Road-250 Black,3,6816.00
2021,8,Germany,Road-250 Red,4,8941.00
2021,8,Germany,Road-350-W Yellow,5,7519.00
2021,8,Germany,Road-550-W Yellow,3,3058.00
2021,8,Germany,Road-650 Black,1,775.00
2021,8,United Kingdom,Mountain-200 Black,2,4406.00
2021,8,United Kingdom,Mountain-200 Silver,5,11135.00
2021,8,United Kingdom,Mountain-400-W Silver,2,1476.00
2021,8,United Kingdom,Mountain-500 Silver,1,542.00
2021,8,United Kingdom,Road-150 Red,3,10305.00
2021,8,United Kingdom,Road-250 Black,1,2345.00
2021,8,United Kingdom,Road-250 Red,2,4690.00
2021,8,United Kingdom,Road-350-W Yellow,7,11431.00
2021,8,United Kingdom,Road-550-W Yellow,3,3225.00
2021,8,United Kingdom,Road-650 Black,2,1504.00
2021,8,United Kingdom,Road-750 Black,6,3108.00
2021,8,United States,Mountain-100 Black,1,3308.00
2021,8,United States,Mountain-200 Black,8,16065.00
2021,8,United States,Mountain-200 Silver,11,23343.00
2021,8,United States,Mountain-400-W Silver,2,1508.00
2021,8,United States,Mountain-500 Black,2,885.00
2021,8,United States,Mountain-500 Silver,1,554.00
2021,8,United States,Road-150 Red,16,52092.00
2021,8,United States,Road-250 Black,4,9576.00
2021,8,United States,Road-250 Red,2,3812.00
2021,8,United States,Road-550-W Yellow,6,6183.00
2021,8,United States,Road-650 Black,2,1440.00
2021,8,United States,Road-650 Red,4,2795.00
2021,8,United States,Road-750 Black,2,950.00
2021,9,Australia,Mountain-100 Black,5,13668.00
2021,9,Australia,Mountain-100 Silver,1,2686.00
2021,9,Australia,Mountain-200 Black,15,28851.00
2021,9,Australia,Mountain-200 Silver,18,34799.00
2021,9,Australia,Mountain-400-W Silver,7,4599.00
2021,9,Australia,Mountain-500 Silver,4,1905.00
2021,9,Australia,Road-150 Red,16,48415.00
2021,9,Australia,Road-250 Black,5,10162.00
2021,9,Australia,Road-250 Red,2,4250.00
2021,9,Australia,Road-350-W Yellow,17,24327.00
2021,9,Australia,Road-550-W Yellow,14,12711.00
2021,9,Australia,Road-650 Black,1,681.00
2021,9,Australia,Road-750 Black,4,1837.00
2021,9,Canada,Mountain-200 Black,5,11360.00
2021,9,Canada,Mountain-200 Silver,1,2297.00
2021,9,Canada,Mountain-400-W Silver,1,761.00
2021,9,Canada,Road-150 Red,1,3542.00
2021,9,Canada,Road-250 Red,1,2419.00
2021,9,France,Mountain-100 Black,1,2768.00
2021,9,France,Mountain-100 Silver,1,2584.00
2021,9,France,Mountain-200 Silver,3,5683.00
2021,9,France,Mountain-500 Silver,1,463.00
2021,9,France,Road-150 Red,4,12809.00
2021,9,France,Road-250 Black,1,1857.00
2021,9,France,Road-250 Red,6,12703.00
2021,9,France,Road-350-W Yellow,1,1395.00
2021,9,France,Road-550-W Yellow,6,5520.00
2021,9,France,Road-650 Black,2,1284.00
2021,9,Germany,Mountain-200 Black,6,13080.00
2021,9,Germany,Mountain-200 Silver,5,10161.00
2021,9,Germany,Mountain-500 Silver,1,463.00
2021,9,Germany,Road-150 Red,3,9375.00
2021,9,Germany,Road-250 Black,4,8647.00
2021,9,Germany,Road-250 Red,4,8525.00
2021,9,Germany,Road-350-W Yellow,4,6141.00
2021,9,Germany,Road-550-W Yellow,4,4111.00
2021,9,Germany,Road-650 Red,1,642.00
2021,9,United Kingdom,Mountain-200 Black,5,11015.00
2021,9,United Kingdom,Mountain-200 Silver,2,4454.00
2021,9,United Kingdom,Mountain-400-W Silver,2,1476.00
2021,9,United Kingdom,Road-150 Red,5,17175.00
2021,9,United Kingdom,Road-250 Red,1,2345.00
2021,9,United Kingdom,Road-350-W Yellow,6,9798.00
2021,9,United Kingdom,Road-550-W Yellow,5,5375.00
2021,9,United Kingdom,Road-650 Red,1,752.00
2021,9,United Kingdom,Road-750 Black,7,3626.00
2021,9,United States,Mountain-100 Black,1,2633.00
2021,9,United States,Mountain-200 Black,8,15515.00
2021,9,United States,Mountain-200 Silver,11,24550.00
2021,9,United States,Mountain-400-W Silver,2,1354.00
2021,9,United States,Road-150 Red,14,47225.00
2021,9,United States,Road-250 Black,1,2394.00
2021,9,United States,Road-350-W Yellow,1,1327.00
2021,9,United States,Road-550-W Yellow,6,6183.00
2021,9,United States,Road-650 Black,4,2880.00
2021,9,United States,Road-650 Red,5,3367.00
2021,9,United States,Road-750 Black,9,4480.00
2021,10,Australia,Mountain-100 Black,1,2936.00
2021,10,Australia,Mountain-100 Silver,3,8330.00
2021,10,Australia,Mountain-200 Black,18,35256.00
2021,10,Australia,Mountain-200 Silver,12,23131.00
2021,10,Australia,Mountain-400-W Silver,15,9783.00
2021,10,Australia,Mountain-500 Black,1,427.00
2021,10,Australia,Mountain-500 Silver,2,984.00
2021,10,Australia,Road-150 Red,13,38932.00
2021,10,Australia,Road-250 Black,5,10308.00
2021,10,Australia,Road-250 Red,2,4250.00
2021,10,Australia,Road-350-W Yellow,7,9799.00
2021,10,Australia,Road-550-W Yellow,10,9595.00
2021,10,Australia,Road-650 Black,4,2538.00
2021,10,Australia,Road-650 Red,3,1981.00
2021,10,Australia,Road-750 Black,10,4522.00
2021,10,Canada,Mountain-200 Black,2,4544.00
2021,10,Canada,Mountain-200 Silver,3,6891.00
2021,10,Canada,Mountain-400-W Silver,1,761.00
2021,10,Canada,Mountain-500 Black,2,1070.00
2021,10,Canada,Road-150 Red,3,10626.00
2021,10,Canada,Road-250 Red,2,4838.00
2021,10,Canada,Road-550-W Yellow,2,2218.00
2021,10,Canada,Road-650 Red,1,775.00
2021,10,Canada,Road-750 Black,1,535.00
2021,10,France,Mountain-100 Black,1,3308.00
2021,10,France,Mountain-100 Silver,2,5780.00
2021,10,France,Mountain-200 Black,1,2134.00
2021,10,France,Mountain-200 Silver,2,4129.00
2021,10,France,Mountain-500 Silver,1,429.00
2021,10,France,Road-150 Red,2,6118.00
2021,10,France,Road-250 Black,5,10821.00
2021,10,France,Road-250 Red,9,19126.00
2021,10,France,Road-350-W Yellow,4,5869.00
2021,10,France,Road-550-W Yellow,2,1769.00
